t	Ns	Ni	Dead_pi_0.0062	InterpolatingFunction[{{1, 2}}, {5, 3, 0, {2}, {2}, 0, 0, 0, 0, Automatic, {}, {}, False}, {{1, 2}}, {{Take[Table[], 231]}, {Transpose[Take[Table[], 231]][[5]]}}, {Automatic}]	LogRS	Rt	DiscHealthCost	DiscTotalCost
2.544.977.348.814.570	0.513443	0.0058877	977488.	0.776687	0.625966	0.960166	123.365	134.735
2.554.977.348.814.570	0.512638	0.00585433	979194.	0.777334	0.627633	0.960259	122.424	133.682
2.564.977.348.814.570	0.511837	0.00582122	980890.	0.77798	0.629292	0.960351	121.492	132.638
2.574.977.348.814.570	0.511041	0.00578838	982576.	0.778623	0.630945	0.960443	120.569	131.605
2.584.977.348.814.570	0.510249	0.0057558	984253.	0.779264	0.632591	0.960534	119.654	130.581
2.594.977.348.814.570	0.509461	0.00572348	985920.	0.779903	0.63423	0.960625	118.747	129.568
2.604.977.348.814.570	0.508678	0.00569141	987578.	0.78054	0.635862	0.960715	117.849	128.563
2.614.977.348.814.570	0.507899	0.00565959	989227.	0.781174	0.637488	0.960804	11.696	127.568
2.624.977.348.814.570	0.507124	0.00562803	990867.	0.781807	0.639107	0.960893	116.078	126.583
2.634.977.348.814.570	0.506354	0.00559671	992497.	0.782438	0.64072	0.960982	115.205	125.607
2.644.977.348.814.570	0.505588	0.00556564	994119.	0.783066	0.642326	0.96107	114.339	124.639
2.654.977.348.814.570	0.504826	0.0055348	995731.	0.783692	0.643925	0.961157	113.482	123.681
2.664.977.348.814.570	0.504068	0.00550421	997335.	0.784317	0.645518	0.961244	112.632	122.732
2.674.977.348.814.570	0.503314	0.00547385	998929.	0.784939	0.647104	0.96133	11.179	121.792
2.684.977.348.814.570	0.502564	0.00544373	1000515.	0.785559	0.648684	0.961416	110.956	12.086
2.694.977.348.814.570	0.501819	0.00541384	1002092.	0.786178	0.650257	0.961501	110.129	119.937
2.704.977.348.814.570	0.501077	0.00538418	1003661.	0.786794	0.651825	0.961586	10.931	119.022
2.714.977.348.814.570	0.500339	0.00535475	1005221.	0.787408	0.653385	0.96167	108.498	118.116
2.724.977.348.814.570	0.499606	0.00532554	1006772.	0.788021	0.65494	0.961754	107.694	117.218
2.734.977.348.814.570	0.498876	0.00529655	1008315.	0.788631	0.656488	0.961838	106.896	116.329
2.744.977.348.814.570	0.49815	0.00526778	1009850.	0.789239	0.65803	0.96192	106.106	115.447
2.754.977.348.814.570	0.497428	0.00523924	1011376.	0.789845	0.659566	0.962003	105.323	114.574
2.764.977.348.814.570	0.49671	0.00521091	1012894.	0.79045	0.661096	0.962084	104.547	113.709
2.774.977.348.814.570	0.495996	0.00518279	1014403.	0.791052	0.662619	0.962166	103.778	112.851
2.784.977.348.814.570	0.495285	0.00515488	1015905.	0.791653	0.664137	0.962246	103.016	112.002
2.794.977.348.814.570	0.494578	0.00512718	1017399.	0.792251	0.665648	0.962327	102.261	11.116
2.804.977.348.814.570	0.493875	0.00509969	1018884.	0.792848	0.667154	0.962407	101.512	110.325
2.814.977.348.814.570	0.493176	0.00507241	1020362.	0.793442	0.668653	0.962486	10.077	109.498
2.824.977.348.814.570	0.492481	0.00504532	1021831.	0.794035	0.670147	0.962565	100.034	108.679
2.834.977.348.814.570	0.491789	0.00501844	1023293.	0.794626	0.671634	0.962644	993.053	107.867
2.844.977.348.814.570	0.4911	0.00499176	1024747.	0.795215	0.673116	0.962722	985.826	107.062
2.854.977.348.814.570	0.490416	0.00496527	1026194.	0.795802	0.674592	0.962799	978.663	106.265
2.864.977.348.814.570	0.489734	0.00493898	1027632.	0.796387	0.676062	0.962877	971.563	105.474
