Mathematica;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;R;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;;566;0,382711;0,00148885;0,906326;-0,0046822;-20,7198;-194,348;;;;566;0,955834;0,000640435;0,579753;-0,124906;-162,636;-2368,31;;;;566;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;566;0,954712453;0,000736932;0,583964156;-0,121879833;-163,079694;-2033,169754
;;567;0,382504;0,00148345;0,906581;-0,00465586;-20,7198;-194,348;;;;567;0,955743;0,000640063;0,57978;-0,124886;-162,622;-2369,22;;;;567;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;567;0,954606103;0,000737934;0,584051297;-0,12181776;-163,0714246;-2029,669593
;;568;0,382298;0,00147807;0,906836;-0,00462967;-20,6044;-194,348;;;;568;0,955652;0,000639691;0,579807;-0,124867;-162,607;-2370,14;;;;568;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;568;0,954499587;0,000738958;0,584139462;-0,121754983;-163,0632455;-2026,114942
;;569;0,382092;0,00147272;0,90709;-0,00460364;-20,547;-194,347;;;;569;0,955561;0,000639319;0,579834;-0,124847;-162,593;-2371,07;;;;569;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;569;0,954392901;0,000740004;0,584228562;-0,121691563;-163,0551582;-2022,505173
;;570;0,381888;0,00146739;0,907343;-0,00457775;-20,4897;-194,347;;;;570;0,95547;0,000638947;0,579861;-0,124828;-162,579;-2371,99;;;;570;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;570;0,954286042;0,000741072;0,584318537;-0,121627543;-163,0471638;-2018,839704
;;571;0,381684;0,00146208;0,907595;-0,00455202;-20,4326;-194,347;;;;571;0,955379;0,000638575;0,579888;-0,124808;-162,564;-2372,91;;;;571;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;571;0,954179005;0,000742164;0,584409586;-0,121562785;-163,0392638;-2015,117829
;;572;0,38148;0,0014568;0,907847;-0,00452644;-20,3757;-194,347;;;;572;0,955289;0,000638204;0,579915;-0,124789;-,163;-2373,84;;;;572;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;572;0,954071788;0,000743278;0,584501493;-0,121497439;-163,0314594;-2011,33899
;;573;0,381278;0,00145154;0,908098;-0,004501;-20,319;-194,347;;;;573;0,955198;0,000637832;0,579942;-0,124769;-162,536;-2374,76;;;;573;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;573;0,953964386;0,000744417;0,584594445;-0,121431376;-163,023752;-2007,502512
;;574;0,381076;0,0014463;0,908348;-0,00447571;-20,2624;-194,347;;;;574;0,955107;0,00063746;0,579969;-0,124749;-162,522;-2375,69;;;;574;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;574;0,953856795;0,000745579;0,584688287;-0,121364704;-163,0161428;-2003,607828
;;575;0,380875;0,00144109;0,908598;-0,00445057;-20,2059;-194,346;;;;575;0,955016;0,000637089;0,579996;-0,12473;-162,507;-2376,61;;;;575;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;575;0,953749012;0,000746766;0,584783275;-0,121297246;-163,0086334;-1999,654211
;;576;0,380675;0,0014359;0,908846;-0,00442558;-20,1497;-194,346;;;;576;0,954926;0,000636717;0,580024;-0,12471;-162,493;-2377,54;;;;576;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;576;0,953641033;0,000747979;0,584879277;-0,121229095;-163,0012253;-1995,641032
;;577;0,380475;0,00143074;0,909095;-0,00440073;-20,0936;-194,346;;;;577;0,954835;0,000636345;0,580051;-0,124691;-162,479;-2378,47;;;;577;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;577;0,953532852;0,000749217;0,584976337;-0,12116022;-162,9939198;-1991,567636
;;578;0,380276;0,00142559;0,909342;-0,00437602;-20,0377;-194,346;;;;578;0,954745;0,000635974;0,580078;-0,124671;-162,464;-2379,4;;;;578;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;578;0,953424467;0,000750481;0,585074473;-0,12109061;-162,9867184;-1987,43337
;;579;0,380078;0,00142047;0,909589;-0,00435146;-19,9819;-194,346;;;;579;0,954654;0,000635603;0,580105;-0,124651;-,162;-2380,33;;;;579;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;579;0,953315873;0,000751772;0,5851737;-0,121020254;-162,9796226;-1983,237573
;;580;0,379881;0,00141537;0,909835;-0,00432704;-19,9263;-194,346;;;;580;0,954564;0,000635232;0,580132;-0,124632;-162,436;-2381,26;;;;580;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;580;0,953207065;0,00075309;0,585274039;-0,120949139;-162,9726339;-1978,979584
;;581;0,379684;0,0014103;0,91008;-0,00430276;-19,8709;-194,345;;;;581;0,954474;0,00063486;0,580159;-0,124612;-162,421;-2382,19;;;;581;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;581;0,95309804;0,000754435;0,585375507;-0,120877254;-162,965754;-1974,658738
;;582;0,379488;0,00140524;0,910325;-0,00427862;-19,8156;-194,345;;;;582;0,954383;0,000634489;0,580186;-0,124593;-162,407;-2383,12;;;;582;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;582;0,952988792;0,000755809;0,585478123;-0,120804585;-162,9589842;-1970,274368
;;583;0,379293;0,00140021;0,910569;-0,00425462;-19,7605;-194,345;;;;583;0,954293;0,000634118;0,580213;-0,124573;-162,393;-2384,06;;;;583;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;583;0,952879317;0,000757211;0,585581911;-0,120731119;-162,9523263;-1965,825801
;;584;0,379098;0,0013952;0,910812;-0,00423076;-19,7055;-194,345;;;;584;0,954203;0,000633748;0,58024;-0,124553;-162,379;-2384,99;;;;584;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;584;0,95276961;0,000758643;0,585686892;-0,12065684;-162,9457819;-1961,312364
;;585;0,378904;0,00139022;0,911055;-0,00420703;-19,6507;-194,345;;;;585;0,954113;0,000633377;0,580267;-0,124534;-162,364;-2385,93;;;;585;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;585;0,952659667;0,000760105;0,585793082;-0,120581737;-162,9393525;-1956,73338
;;586;0,378711;0,00138525;0,911297;-0,00418345;-19,5961;-194,345;;;;586;0,954023;0,000633006;0,580294;-0,124514;-,162;-2386,86;;;;586;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;586;0,952549482;0,000761597;0,585900503;-0,120505798;-162,93304;-1952,08817
;;587;0,378518;0,00138031;0,911538;-0,00416;-19,5416;-194,344;;;;587;0,953933;0,000632636;0,580321;-0,124495;-162,336;-2387,8;;;;587;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;587;0,95243905;0,000763121;0,586009177;-0,120429008;-162,9268459;-1947,376055
;;588;0,378326;0,00137539;0,911779;-0,00413668;-19,4873;-194,344;;;;588;0,953843;0,000632265;0,580348;-0,124475;-162,322;-2388,74;;;;588;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;588;0,952328367;0,000764676;0,586119124;-0,120351352;-162,9207721;-1942,59635
;;589;0,378135;0,00137049;0,912018;-0,00411351;-19,4331;-194,344;;;;589;0,953753;0,000631895;0,580375;-0,124455;-162,307;-2389,67;;;;589;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;589;0,952217427;0,000766264;0,586230369;-0,120272816;-162,9148202;-1937,74837
;;590;0,377944;0,00136561;0,912258;-0,00409046;-19,3791;-194,344;;;;590;0,953663;0,000631525;0,580403;-0,124436;-162,293;-2390,61;;;;590;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;590;0,952106225;0,000767884;0,586342933;-0,120193385;-162,9089921;-1932,831428
;;591;0,377754;0,00136075;0,912496;-0,00406755;-19,3253;-194,344;;;;591;0,953573;0,000631155;0,58043;-0,124416;-162,279;-2391,55;;;;591;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;591;0,951994755;0,000769539;0,58645684;-0,120113044;-162,9032896;-1927,844835
;;592;0,377565;0,00135591;0,912734;-0,00404477;-19,2716;-194,344;;;;592;0,953483;0,000630785;0,580457;-0,124397;-162,265;-2392,49;;;;592;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;592;0,951883012;0,000771227;0,586572114;-0,120031778;-162,8977146;-1922,7879
;;593;0,377377;0,0013511;0,912971;-0,00402212;-19,2181;-194,344;;;;593;0,953393;0,000630416;0,580484;-0,124377;-,162;-2393,43;;;;593;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;593;0,95177099;0,000772951;0,586688779;-0,11994957;-162,8922688;-1917,659932
;;594;0,377189;0,0013463;0,913208;-0,0039996;-19,1647;-194,343;;;;594;0,953304;0,000630046;0,580511;-0,124358;-162,236;-2394,37;;;;594;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;594;0,951658683;0,000774711;0,586806859;-0,119866405;-162,8869544;-1912,460237
;;595;0,377002;0,00134153;0,913444;-0,00397721;-19,1115;-194,343;;;;595;0,953214;0,000629677;0,580538;-0,124338;-162,222;-2395,31;;;;595;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;595;0,951546086;0,000776507;0,586926381;-0,119782266;-162,8817731;-1907,188121
;;596;0,376815;0,00133677;0,913679;-0,00395495;-19,0584;-194,343;;;;596;0,953125;0,000629308;0,580565;-0,124318;-162,208;-2396,26;;;;596;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;596;0,951433192;0,000778341;0,58704737;-0,119697136;-162,8767269;-1901,842889
;;597;0,376629;0,00133204;0,913914;-0,00393282;-19,0055;-194,343;;;;597;0,953035;0,000628939;0,580592;-0,124299;-162,194;-2397,2;;;;597;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;597;0,951319995;0,000780213;0,587169852;-0,119610999;-162,871818;-1896,423844
;;598;0,376444;0,00132733;0,914148;-0,00391082;-18,9527;-194,343;;;;598;0,952946;0,00062857;0,580619;-0,124279;-162,179;-2398,14;;;;598;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;598;0,95120649;0,000782124;0,587293856;-0,119523836;-162,8670483;-1890,930291
;;599;0,376259;0,00132264;0,914381;-0,00388894;-18,9001;-194,343;;;;599;0,952856;0,000628201;0,580646;-0,12426;-162,165;-2399,09;;;;599;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;599;0,951092668;0,000784074;0,587419408;-0,11943563;-162,8624199;-1885,361533
;;600;0,376075;0,00131797;0,914614;-0,00386719;-18,8477;-194,343;;;;600;0,952767;0,000627833;0,580673;-0,12424;-162,151;-2400,03;;;;600;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;600;0,950978525;0,000786065;0,587546537;-0,119346363;-162,857935;-1879,716874
;;601;0,375892;0,00131331;0,914846;-0,00384556;-18,7954;-194,342;;;;601;0,952678;0,000627464;0,580701;-0,124221;-162,137;-2400,98;;;;601;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;601;0,950864052;0,000788098;0,587675272;-0,119256016;-162,8535957;-1873,995616
;;602;0,375709;0,00130868;0,915077;-0,00382406;-18,7432;-194,342;;;;602;0,952588;0,000627096;0,580728;-0,124201;-162,123;-2401,92;;;;602;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;602;0,950749244;0,000790173;0,587805643;-0,11916457;-162,8494042;-1868,197065
;;603;0,375527;0,00130407;0,915308;-0,00380268;-18,6912;-194,342;;;;603;0,952499;0,000626728;0,580755;-0,124181;-162,109;-2402,87;;;;603;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;603;0,950634093;0,000792292;0,58793768;-0,119072005;-162,8453627;-1862,320525
;;604;0,375346;0,00129948;0,915538;-0,00378143;-18,6394;-194,342;;;;604;0,95241;0,00062636;0,580782;-0,124162;-162,094;-2403,82;;;;604;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;604;0,950518592;0,000794454;0,588071413;-0,118978303;-162,8414736;-1856,365301
;;605;0,375165;0,00129491;0,915767;-0,0037603;-18,5877;-194,342;;;;605;0,952321;0,000625993;0,580809;-0,124142;-,162;-2404,76;;;;605;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;605;0,950402733;0,000796662;0,588206876;-0,118883441;-162,8377391;-1850,330702
;;606;0,374985;0,00129035;0,915996;-0,00373929;-18,5362;-194,342;;;;606;0,952232;0,000625625;0,580836;-0,124123;-162,066;-2405,71;;;;606;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;606;0,95028651;0,000798916;0,5883441;-0,1187874;-162,8341615;-1844,216035
;;607;0,374806;0,00128582;0,916224;-0,0037184;-18,4848;-194,342;;;;607;0,952143;0,000625258;0,580863;-0,124103;-162,052;-2406,66;;;;607;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;607;0,950169914;0,000801218;0,588483119;-0,118690159;-162,8307434;-1838,020612
;;608;0,374637;0,00128157;0,916438;-0,00369886;-18,4366;-194,341;;;;608;0,952054;0,000624891;0,58089;-0,124084;-162,038;-2407,61;;;;608;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;608;0,950052937;0,000803567;0,588623966;-0,118591695;-162,8274871;-1831,743744
;;609;0,374459;0,00127708;0,916665;-0,0036782;-18,3855;-194,341;;;;609;0,951965;0,000624524;0,580917;-0,124064;-162,024;-2408,56;;;;609;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;609;0,949935572;0,000805966;0,588766678;-0,118491987;-162,8243952;-1825,384746
;;610;0,374282;0,0012726;0,916891;-0,00365766;-18,3345;-194,341;;;;610;0,951876;0,000624158;0,580944;-0,124045;-162,009;-2409,51;;;;610;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;610;0,94981781;0,000808416;0,588911288;-0,118391012;-162,8214701;-1818,942936
;;611;0,374105;0,00126815;0,917117;-0,00363724;-18,2837;-194,341;;;;611;0,951788;0,000623792;0,580971;-0,124025;-161,995;-2410,46;;;;611;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;611;0,949699643;0,000810917;0,589057835;-0,118288746;-162,8187144;-1812,417636
;;612;0,373928;0,00126371;0,917342;-0,00361694;-18,233;-194,341;;;;612;0,951699;0,000623425;0,580999;-0,124006;-161,981;-2411,41;;;;612;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;612;0,949581062;0,000813471;0,589206354;-0,118185167;-162,8161308;-1805,808168
;;613;0,373752;0,00125929;0,917566;-0,00359675;-18,1825;-194,341;;;;613;0,95161;0,000623059;0,581026;-0,123986;-161,967;-2412,36;;;;613;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;613;0,949462058;0,000816079;0,589356886;-0,118080249;-162,813722;-1799,113862
;;614;0,373577;0,00125489;0,91779;-0,00357668;-18,1322;-194,341;;;;614;0,951522;0,000622694;0,581053;-0,123966;-161,953;-2413,31;;;;614;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;614;0,949342623;0,000818742;0,589509469;-0,117973968;-162,8114906;-1792,33405
;;615;0,373403;0,0012505;0,918013;-0,00355672;-18,0819;-,194;;;;615;0,951433;0,000622328;0,58108;-0,123947;-161,939;-2414,26;;;;615;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;615;0,949222746;0,000821462;0,589664143;-0,117866299;-162,8094394;-1785,468067
;;616;0,373229;0,00124614;0,918236;-0,00353688;-18,0319;-,194;;;;616;0,951344;0,000621963;0,581107;-0,123927;-161,925;-2415,21;;;;616;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;616;0,949102419;0,000824239;0,58982095;-0,117757216;-162,8075714;-1778,515256
;;617;0,373055;0,00124179;0,918457;-0,00351715;-17,9819;-,194;;;;617;0,951256;0,000621598;0,581134;-0,123908;-161,911;-2416,17;;;;617;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;617;0,948981632;0,000827076;0,589979932;-0,117646692;-162,8058893;-1771,474964
;;618;0,372883;0,00123747;0,918679;-0,00349754;-17,9321;-,194;;;;618;0,951168;0,000621233;0,581161;-0,123888;-161,897;-2417,12;;;;618;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;618;0,948860375;0,000829974;0,590141132;-0,117534699;-162,8043961;-1764,346544
;;619;0,37271;0,00123316;0,918899;-0,00347803;-17,8825;-,194;;;;619;0,951079;0,000620869;0,581188;-0,123869;-161,883;-2418,07;;;;619;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;619;0,948738637;0,000832933;0,590304595;-0,117421211;-162,8030947;-1757,129354
;;620;0,372539;0,00122887;0,919119;-0,00345864;-1,7833;-,194;;;;620;0,950991;0,000620504;0,581215;-0,123849;-161,868;-2419,03;;;;620;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;620;0,948616408;0,000835956;0,590470366;-0,117306198;-162,8019883;-1749,822761
;;621;0,372368;0,0012246;0,919339;-0,00343936;-17,7836;-,194;;;;621;0,950903;0,00062014;0,581242;-0,12383;-161,854;-2419,98;;;;621;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;621;0,948493678;0,000839045;0,590638493;-0,117189632;-162,8010799;-1742,426137
;;622;0,372197;0,00122034;0,919558;-0,00342019;-17,7344;-,194;;;;622;0,950814;0,000619776;0,581269;-0,12381;-,162;-2420,94;;;;622;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;622;0,948370435;0,000842199;0,590809023;-0,117071483;-162,8003727;-1734,938862
;;623;0,372028;0,00121611;0,919776;-0,00340113;-17,6853;-194,339;;;;623;0,950726;0,000619413;0,581296;-0,123791;-161,826;-2421,89;;;;623;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;623;0,948246668;0,000845423;0,590982005;-0,116951719;-162,79987;-1727,360325
;;624;0,371858;0,00121189;0,919993;-0,00338218;-17,6364;-194,339;;;;624;0,950638;0,000619049;0,581323;-0,123771;-161,812;-2422,85;;;;624;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;624;0,948122366;0,000848716;0,59115749;-0,11683031;-162,7995749;-1719,689924
;;625;0,37169;0,00120769;0,92021;-0,00336334;-17,5876;-194,339;;;;625;0,95055;0,000618686;0,58135;-0,123752;-161,798;-2423,8;;;;625;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;625;0,947997516;0,000852081;0,59133553;-0,116707224;-162,799491;-1711,927064
;;626;0,371522;0,0012035;0,920427;-0,0033446;-1,7539;-194,339;;;;626;0,950462;0,000618323;0,581377;-0,123733;-161,784;-2424,76;;;;626;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;626;0,947872107;0,000855519;0,591516178;-0,116582427;-162,7996215;-1704,071161
;;627;0,371354;0,00119934;0,920643;-0,00332598;-17,4905;-194,339;;;;627;0,950374;0,000617961;0,581405;-0,123713;-,162;-2425,71;;;;627;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;627;0,947746127;0,000859033;0,591699488;-0,116455886;-162,79997;-1696,121641
;;628;0,371187;0,00119519;0,920858;-0,00330746;-17,4421;-194,339;;;;628;0,950286;0,000617598;0,581432;-0,123694;-161,756;-2426,67;;;;628;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;628;0,947619561;0,000862624;0,591885518;-0,116327567;-162,80054;-1688,077942
;;629;0,371021;0,00119106;0,921072;-0,00328904;-17,3939;-194,339;;;;629;0,950198;0,000617236;0,581459;-0,123674;-161,742;-2427,63;;;;629;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;629;0,947492398;0,000866294;0,592074323;-0,116197433;-162,8013352;-1679,939512
;;630;0,370855;0,00118694;0,921286;-0,00327073;-17,3458;-194,339;;;;630;0,950111;0,000616874;0,581486;-0,123655;-161,728;-2428,58;;;;630;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;630;0,947364623;0,000870045;0,592265964;-0,11606545;-162,8023593;-1671,705812
;;631;0,37069;0,00118285;0,9215;-0,00325253;-17,2978;-194,338;;;;631;0,950023;0,000616513;0,581513;-0,123635;-161,714;-2429,54;;;;631;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;631;0,947236223;0,00087388;0,592460502;-0,115931578;-162,8036159;-1663,376313
;;632;0,370526;0,00117877;0,921712;-0,00323443;-17,25;-194,338;;;;632;0,949935;0,000616152;0,58154;-0,123616;-,162;-2430,5;;;;632;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;632;0,947107184;0,000877801;0,592657998;-0,115795781;-162,8051091;-1654,950504
;;633;0,370362;0,0011747;0,921925;-0,00321643;-17,2023;-194,338;;;;633;0,949848;0,000615791;0,581567;-0,123596;-161,686;-2431,46;;;;633;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;633;0,94697749;0,000881809;0,592858518;-0,115658018;-162,8068427;-1646,427884
;;634;0,370198;0,00117066;0,922136;-0,00319853;-17,1548;-194,338;;;;634;0,94976;0,00061543;0,581594;-0,123577;-161,672;-2432,41;;;;634;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;634;0,946847128;0,000885907;0,593062126;-0,115518251;-162,8088207;-1637,807967
;;635;0,370035;0,00116663;0,922347;-0,00318074;-17,1074;-194,338;;;;635;0,949673;0,000615069;0,581621;-0,123557;-161,658;-2433,37;;;;635;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;635;0,946716081;0,000890097;0,593268892;-0,115376437;-162,8110473;-1629,090286
;;636;0,369873;0,00116261;0,922558;-0,00316305;-17,0601;-194,338;;;;636;0,949585;0,000614709;0,581648;-0,123538;-161,644;-2434,33;;;;636;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;636;0,946584333;0,000894383;0,593478884;-0,115232534;-162,8135266;-1620,274385
;;637;0,369711;0,00115862;0,922768;-0,00314546;-17,013;-194,338;;;;637;0,949498;0,000614349;0,581675;-0,123519;-,162;-2435,29;;;;637;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;637;0,94645187;0,000898766;0,593692175;-0,115086498;-162,8162628;-1611,359829
;;638;0,36955;0,00115464;0,922977;-0,00312797;-16,966;-194,338;;;;638;0,94941;0,00061399;0,581702;-0,123499;-161,616;-2436,25;;;;638;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;638;0,946318672;0,000903249;0,593908839;-0,114938286;-162,8192603;-1602,346199
;;639;0,369389;0,00115068;0,923186;-0,00311058;-16,9192;-194,338;;;;639;0,949323;0,00061363;0,581729;-0,12348;-161,602;-2437,21;;;;639;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;639;0,946184724;0,000907835;0,594128952;-0,11478785;-162,8225236;-1593,233093
;;640;0,369229;0,00114673;0,923394;-0,00309329;-16,8724;-194,337;;;;640;0,949236;0,000613271;0,581756;-0,12346;-161,588;-2438,17;;;;640;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;640;0,946050008;0,000912527;0,594352591;-0,114635145;-162,8260573;-1584,02013
;;641;0,369069;0,0011428;0,923601;-0,0030761;-16,8259;-194,337;;;;641;0,949148;0,000612912;0,581783;-0,123441;-161,574;-2439,13;;;;641;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;641;0,945914504;0,000917328;0,594579839;-0,114480121;-162,8298658;-1574,70695
;;642;0,36891;0,00113888;0,923808;-0,003059;-16,7794;-194,337;;;;642;0,949061;0,000612554;0,58181;-0,123422;-,162;-2440,09;;;;642;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;642;0,945778196;0,00092224;0,594810777;-0,114322729;-162,8339541;-1565,293212
;;643;0,368752;0,00113499;0,924015;-0,00304201;-16,7331;-194,337;;;;643;0,948974;0,000612196;0,581837;-0,123402;-161,546;-2441,05;;;;643;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;643;0,945641062;0,000927267;0,595045492;-0,114162918;-162,8383269;-1555,778597
;;644;0,368594;0,0011311;0,92422;-0,00302511;-16,6869;-194,337;;;;644;0,948887;0,000611838;0,581864;-0,123383;-161,532;-2442,01;;;;644;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;644;0,945503084;0,000932413;0,595284071;-0,114000635;-162,8429892;-1546,16281
;;645;0,368436;0,00112724;0,924426;-0,0030083;-16,6408;-194,337;;;;645;0,9488;0,00061148;0,581891;-0,123363;-161,518;-2442,97;;;;645;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;645;0,94536424;0,00093768;0,595526606;-0,113835826;-162,8479461;-1536,445577
;;646;0,368279;0,00112339;0,92463;-0,00299159;-16,5949;-194,337;;;;646;0,948713;0,000611123;0,581918;-0,123344;-161,504;-2443,93;;;;646;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;646;0,945224511;0,000943072;0,59577319;-0,113668436;-162,8532026;-1526,626653
;;647;0,368123;0,00111955;0,924834;-0,00297498;-16,5491;-194,337;;;;647;0,948626;0,000610766;0,581944;-0,123325;-,161;-2444,89;;;;647;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;647;0,945083872;0,000948592;0,596023919;-0,113498407;-162,8587641;-1516,705815
;;648;0,367967;0,00111573;0,925038;-0,00295846;-16,5035;-194,336;;;;648;0,948539;0,000610409;0,581971;-0,123305;-161,476;-2445,85;;;;648;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;648;0,944942304;0,000954246;0,596278894;-0,11332568;-162,864636;-1506,682867
;;649;0,367812;0,00111193;0,925241;-0,00294204;-16,4579;-194,336;;;;649;0,948452;0,000610052;0,581998;-0,123286;-161,463;-2446,81;;;;649;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;649;0,944799781;0,000960036;0,596538217;-0,113150195;-162,8708239;-1496,557642
;;650;0,367657;0,00110814;0,925443;-0,00292571;-16,4125;-194,336;;;;650;0,948366;0,000609696;0,582025;-0,123267;-161,449;-2447,78;;;;650;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;650;0,944656281;0,000965966;0,596801995;-0,112971891;-162,8773333;-1486,330002
;;651;0,367503;0,00110437;0,925645;-0,00290947;-16,3673;-194,336;;;;651;0,948279;0,00060934;0,582052;-0,123247;-161,435;-2448,74;;;;651;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;651;0,944511779;0,000972041;0,597070337;-0,112790701;-162,8841701;-1475,999837
;;652;0,367349;0,00110061;0,925847;-0,00289332;-16,3221;-194,336;;;;652;0,948192;0,000608985;0,582079;-0,123228;-161,421;-2449,7;;;;652;0,087199908;9,99994E-10;0;0;-11463968,28;9,99755E+14;;;;652;0,944366248;0,000978265;0,597343355;-0,112606561;-162,8913401;-1465,567069
